City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,khash,IR,28.2211,61.2158,61.05,11,0,4.12,clear sky
198,jiaojiang,CN,28.6803,121.4428,50.0,83,95,5.93,overcast clouds
199,madang,PG,-5.2246,145.7966,80.15,80,100,1.9,overcast clouds
200,tasiilaq,GL,65.6145,-37.6368,32.16,90,100,5.1,overcast clouds
201,miri,MY,4.4148,114.0089,71.74,100,20,2.3,few clouds
202,nikolskoye,RU,59.7035,30.7861,28.8,95,84,2.82,broken clouds
203,rapid valley,US,44.0625,-103.1463,50.38,41,100,16.11,overcast clouds
204,esil,KZ,51.9556,66.4042,26.49,86,38,8.03,scattered clouds
205,peniche,PT,39.3558,-9.3811,51.3,81,0,19.77,clear sky
206,avarua,CK,-21.2078,-159.775,84.25,70,87,11.5,overcast clouds
207,jubbal,IN,31.1167,77.6667,50.18,33,0,3.22,clear sky
208,cap malheureux,MU,-19.9842,57.6142,76.46,87,100,10.0,light rain
209,la asuncion,VE,11.0333,-63.8628,77.34,84,48,20.4,scattered clouds
210,margate,GB,51.3813,1.3862,40.69,61,58,10.0,broken clouds
211,leningradskiy,RU,69.3833,178.4167,2.3,90,100,8.03,overcast clouds
212,arman,RU,59.7,150.1667,10.02,67,100,7.4,overcast clouds
213,certeze,RO,47.9,23.4667,47.17,97,100,4.76,overcast clouds
214,proletariy,RU,58.4342,31.7046,23.77,91,91,5.06,overcast clouds
215,amapa,BR,1.0,-52.0,73.53,98,100,2.46,overcast clouds
216,cordoba,AR,-31.4135,-64.1811,63.75,41,0,11.5,clear sky
217,mogok,MM,22.9167,96.5,66.2,46,32,1.92,scattered clouds
218,norsup,VU,-16.0667,167.3833,81.28,82,100,6.4,light rain
219,alta floresta,BR,-9.8756,-56.0861,71.58,98,52,4.88,broken clouds
220,sao joao da barra,BR,-21.6403,-41.0511,76.62,85,39,5.32,light rain
221,carballo,ES,43.213,-8.691,45.86,82,53,3.6,broken clouds
222,ancud,CL,-41.8697,-73.8203,56.23,95,17,6.15,few clouds
223,roebourne,AU,-20.7833,117.1333,82.11,78,12,5.1,few clouds
224,podgornoye,RU,51.735,39.1496,37.62,100,100,2.24,fog
225,goma,CD,-1.6792,29.2228,61.54,89,82,3.06,broken clouds
226,kruisfontein,ZA,-34.0033,24.7314,60.89,84,3,6.35,clear sky
227,vilyuysk,RU,63.7553,121.6247,16.9,96,100,2.37,overcast clouds
228,quatre cocos,MU,-20.2078,57.7625,76.08,91,100,18.14,moderate rain
229,saint-augustin,CA,51.226,-58.6502,31.73,98,100,19.24,snow
230,anadyr,RU,64.75,177.4833,23.5,85,75,6.71,broken clouds
231,dakar,SN,14.6937,-17.4441,70.68,83,3,17.76,clear sky
232,sibi,PK,29.5448,67.8764,81.03,6,0,7.02,clear sky
233,okhotsk,RU,59.3833,143.3,10.71,68,56,18.43,broken clouds
234,hammond,US,41.5834,-87.5,45.55,59,0,5.75,clear sky
235,culiacancito,MX,24.8247,-107.5331,84.45,48,49,8.01,scattered clouds
236,east london,ZA,-33.0153,27.9116,65.05,91,100,7.29,light rain
237,sabya,SA,17.1495,42.6254,78.42,64,6,4.34,clear sky
238,ilave,PE,-16.0833,-69.6667,44.11,82,40,4.47,scattered clouds
239,cururupu,BR,-1.8283,-44.8683,73.15,98,100,2.3,overcast clouds
240,sept-iles,CA,50.2001,-66.3821,32.52,96,100,10.36,overcast clouds
241,buritizeiro,BR,-17.3511,-44.9622,79.0,46,31,3.89,scattered clouds
242,ahipara,NZ,-35.1667,173.1667,73.4,62,30,2.84,scattered clouds
243,araripina,BR,-7.5761,-40.4983,70.25,87,92,3.83,overcast clouds
244,warner robins,US,32.621,-83.5999,75.36,26,0,11.5,clear sky
245,bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
246,byron bay,AU,-28.65,153.6167,73.29,64,7,2.46,clear sky
247,raichur,IN,16.2,77.3667,83.26,48,20,6.24,few clouds
248,henties bay,NA,-22.116,14.2845,61.09,88,0,8.72,clear sky
249,chatellerault,FR,46.8,0.5333,36.55,54,100,17.02,overcast clouds
250,komsomolskiy,UZ,40.4272,71.7189,58.48,35,44,2.06,scattered clouds
251,clyde river,CA,70.4692,-68.5914,12.43,92,100,4.61,overcast clouds
252,comodoro rivadavia,AR,-45.8667,-67.5,75.06,17,0,17.27,clear sky
253,sault sainte marie,CA,46.5168,-84.3333,30.49,63,20,12.66,few clouds
254,khandyga,RU,62.6667,135.6,4.28,90,61,4.47,broken clouds
255,ajaccio,FR,42.0,8.9167,42.85,71,75,14.97,broken clouds
256,annau,TM,37.8876,58.516,54.9,62,1,2.3,clear sky
257,aginskoye,RU,51.1,114.53,31.96,66,91,4.99,overcast clouds
258,constitucion,CL,-35.3333,-72.4167,57.34,84,12,14.38,few clouds
259,norman wells,CA,65.282,-126.8329,-3.96,50,0,5.75,clear sky
260,umm lajj,SA,25.0213,37.2685,79.93,38,3,2.86,clear sky
261,alofi,NU,-19.0595,-169.9187,84.09,79,99,10.36,overcast clouds
262,provideniya,RU,64.3833,-173.3,27.82,87,100,10.87,overcast clouds
263,severnyy,RU,50.677,36.5532,57.24,44,0,6.71,clear sky
